PDF;Seite;Leitidee;Stufe;Begriff;Exakt;Flexion;Kompositum;Wortteil;Anzahl_Gesamt;Score_Gewichtet
Mathematik 1 Schulbuch SB.pdf;84;Politik, Demokratie und Menschenrechte;Stufe 2;Gleichheit;0;7;6;0;13;8.25
Mathematik 1 Schulbuch SB.pdf;84;Wirtschaft und Konsum;Stufe 2;Kosten;5;0;2;0;7;6
Mathematik 1 Schulbuch SB.pdf;34;Globale Entwicklung und Frieden;Stufe 2;Bevölkerung;2;0;6;0;8;5
Mathematik 1 Schulbuch SB.pdf;85;Politik, Demokratie und Menschenrechte;Stufe 2;Gleichheit;0;5;2;0;7;4.75
Mathematik 1 Schulbuch SB.pdf;13;Globale Entwicklung und Frieden;Stufe 2;Bildung;0;0;9;0;9;4.5
Mathematik 1 Schulbuch SB.pdf;69;Natürliche Umwelt und Ressourcen;Stufe 2;Fläche;0;0;9;0;9;4.5
Mathematik 1 Schulbuch SB.pdf;17;Globale Entwicklung und Frieden;Stufe 2;Bildung;0;3;4;1;8;4.35
Mathematik 1 Schulbuch SB.pdf;92;Natürliche Umwelt und Ressourcen;Stufe 2;Fläche;1;0;5;8;14;4.3
Mathematik 1 Schulbuch SB.pdf;48;Gesundheit;Stufe 2;Bewegung;1;3;2;0;6;4.25
Mathematik 1 Schulbuch SB.pdf;25;Wirtschaft und Konsum;Stufe 2;Kosten;3;0;2;0;5;4
Mathematik 1 Schulbuch SB.pdf;83;Globale Entwicklung und Frieden;Stufe 2;Bildung;0;5;0;0;5;3.75
Mathematik 1 Schulbuch SB.pdf;70;Natürliche Umwelt und Ressourcen;Stufe 2;Fläche;0;0;7;1;8;3.6
Mathematik 1 Schulbuch SB.pdf;75;Natürliche Umwelt und Ressourcen;Stufe 2;Fläche;2;0;3;1;6;3.6
Mathematik 1 Schulbuch SB.pdf;34;Globale Entwicklung und Frieden;Stufe 2;Stadt;3;0;1;0;4;3.5
Mathematik 1 Schulbuch SB.pdf;35;Geschlechter und Gleichstellung;Stufe 2;Berufe;3;0;1;0;4;3.5
Mathematik 1 Schulbuch SB.pdf;41;Natürliche Umwelt und Ressourcen;Stufe 2;Fläche;2;2;0;0;4;3.5
Mathematik 1 Schulbuch SB.pdf;71;Politik, Demokratie und Menschenrechte;Stufe 2;Rechte;1;0;5;0;6;3.5
Mathematik 1 Schulbuch SB.pdf;40;Natürliche Umwelt und Ressourcen;Stufe 2;Fläche;0;1;5;1;7;3.35
Mathematik 1 Schulbuch SB.pdf;69;Globale Entwicklung und Frieden;Stufe 2;Bildung;0;3;2;1;6;3.35
Mathematik 1 Schulbuch SB.pdf;12;Globale Entwicklung und Frieden;Stufe 2;Bildung;0;2;3;2;7;3.3
Mathematik 1 Schulbuch SB.pdf;72;Wirtschaft und Konsum;Stufe 2;Kette;0;0;5;5;10;3.3
Mathematik 1 Schulbuch SB.pdf;34;Globale Entwicklung und Frieden;Stufe 2;Entwicklung;1;1;3;0;5;3.25
Mathematik 1 Schulbuch SB.pdf;23;Globale Entwicklung und Frieden;Stufe 2;Bildung;0;4;0;0;4;3
Mathematik 1 Schulbuch SB.pdf;68;Politik, Demokratie und Menschenrechte;Stufe 2;Rechte;0;0;6;0;6;3
Mathematik 1 Schulbuch SB.pdf;73;Politik, Demokratie und Menschenrechte;Stufe 2;Gleichheit;0;3;1;1;5;2.95
Mathematik 1 Schulbuch SB.pdf;53;Globale Entwicklung und Frieden;Stufe 2;Chancen;0;3;1;0;4;2.85
Mathematik 1 Schulbuch SB.pdf;78;Globale Entwicklung und Frieden;Stufe 2;Bildung;0;3;1;0;4;2.85
Mathematik 1 Schulbuch SB.pdf;50;Politik, Demokratie und Menschenrechte;Stufe 2;Rechte;0;3;1;0;4;2.75
Mathematik 1 Schulbuch SB.pdf;16;Globale Entwicklung und Frieden;Stufe 2;Bildung;0;0;5;1;6;2.7
Mathematik 1 Schulbuch SB.pdf;74;Politik, Demokratie und Menschenrechte;Stufe 2;Rechte;0;0;5;1;6;2.6
Mathematik 1 Schulbuch SB.pdf;82;Politik, Demokratie und Menschenrechte;Stufe 2;Rechte;0;0;5;0;5;2.5
